language	beta_mal	r2_mal	compliance_mal	type_mal	points_mal	beta_lmal	r2_lmal	compliance_lmal	type_lmal	points_lmal	beta_rmal	r2_rmal	compliance_rmal	type_rmal	points_rmal	n_constructions
Low_Saxon	0.0861	0.5621	0.6667	grey	7	0.1023	0.5306	0.2000	MAL	6	0.5863	0.9940	1.0000	MAL	5	2409
Luxembourgish					0					0					0	26
Macedonian			1.0000		2			0.0000		2					1	243
Madi					0					0					0	21
Maghrebi_Arabic_French	0.1153	0.9940	1.0000	MAL	4			1.0000		2	0.1536	0.9998	1.0000	MAL	3	3227
Makurap					0					0					0	39
Malayalam	0.2456	0.8652	1.0000	MAL	3			1.0000		2					0	256
Maltese	0.3054	0.9984	1.0000	MAL	5	-0.0542	0.7642	0.5000	grey	3	0.4247	0.8935	1.0000	MAL	3	5661
Manx	0.1351	0.1702	0.6667	MAL	4					0	0.1775	0.3259	0.6667	MAL	4	2724
Marathi	0.0450	0.6138	0.6667	grey	7	0.0544	0.8084	0.6000	grey	6					1	13658
Mbya_Guarani	-0.0777	0.2030	0.5000	grey	3					0					0	210
Middle_Armenian					1					0					0	139
Middle_French	0.0055	0.0007	0.4286	grey	8	-0.4425	0.7324	0.0000	anti-MAL	5	0.1848	0.7372	0.7500	MAL	5	14123
Moksha	0.0406	0.3541	0.6667	grey	4	0.0705	0.9880	1.0000	grey	3			1.0000		2	727
Munduruku			1.0000		2					1					0	171
Naga	0.0269	0.4039	0.5000	grey	3	0.0201	0.6489	0.5000	grey	3					0	554
Naija	-0.2419	0.9164	0.1667	anti-MAL	7	-0.6028	0.9314	0.0000	anti-MAL	5	-0.0549	0.0599	0.6667	grey	4	16250
Neapolitan					0					0					0	26
Nenets			0.0000		2			0.0000		2					0	227
Nepali					0					0					0	126
Nheengatu	0.0084	0.0280	0.6000	grey	6	0.0695	0.4341	0.6667	grey	4	0.1390	0.9421	1.0000	MAL	4	4155
North_Sami	0.0703	0.3774	0.8333	grey	7	-0.0181	0.8438	0.0000	grey	3	0.2498	0.8105	0.7500	MAL	5	3988
Northern_Kurdish	0.1437	0.9459	0.7500	MAL	5	-0.0709	0.3657	0.2500	grey	5					1	1007
Northwest_Gbaya	-0.1149	0.8015	0.3333	anti-MAL	4					1	0.1134	0.9038	1.0000	MAL	3	549
Norwegian	0.2095	0.8793	0.8333	MAL	7	0.1808	0.4993	0.5000	MAL	5	0.3954	0.9636	1.0000	MAL	5	60697
Occitan	0.1277	0.7584	0.8000	MAL	6	-0.2043	0.8966	0.0000	anti-MAL	4	0.2752	0.9544	0.6667	MAL	4	2909
Odia	0.3478	0.9831	1.0000	MAL	5	0.3379	0.9623	1.0000	MAL	5					0	697
Old_Church_Slavonic	-0.2291	0.7005	0.2857	anti-MAL	8	-0.2681	0.8400	0.0000	anti-MAL	7	-0.1483	0.5990	0.2500	anti-MAL	5	37181
Old_East_Slavic	-0.2991	0.7688	0.2222	anti-MAL	10	-0.3023	0.8359	0.0000	anti-MAL	8	-0.1116	0.3023	0.1667	anti-MAL	7	64840
Old_English					0					0					0	27
Old_French	-0.0810	0.5413	0.2857	grey	8	-0.2097	0.7089	0.2000	anti-MAL	6	0.1399	0.6736	0.6000	MAL	6	35324
Old_Georgian	-0.0211	0.0543	0.6000	grey	6	-0.0122	0.0015	0.6667	grey	4	0.2087	0.6135	0.5000	MAL	3	784
Old_Irish					0					0					0	80
Old_Occitan	-0.2006	0.7151	0.1429	anti-MAL	8	-0.4999	0.9928	0.0000	anti-MAL	5	-0.0379	0.1112	0.5000	grey	5	5860
Old_Turkish					0					0					0	15
Ottoman_Turkish	-0.0078	0.0047	0.4000	grey	6	0.0206	0.3193	0.5000	grey	5					1	3855
Pashto	-0.0362	0.0731	0.7500	grey	5	0.0544	0.2859	0.6667	grey	4					1	526
Paumari					0					0					0	92
Persian	-0.0126	0.0994	0.3333	grey	7	-0.0850	0.8300	0.3333	grey	7	0.9250	0.9751	1.0000	MAL	3	61514
Pesh	0.0383	0.0624	0.5000	grey	3			1.0000		2					1	634
Phrygian			1.0000		2					1					1	231
Polish	0.0931	0.4183	0.5000	grey	7	0.1008	0.7115	0.6000	MAL	6	0.1803	0.4966	0.5000	MAL	5	65239
Pomak	-0.0634	0.1120	0.6000	grey	6	0.0934	0.6597	0.6667	grey	4	0.2194	0.9358	1.0000	MAL	4	5408
Portuguese	0.1794	0.9468	0.7143	MAL	8	0.2719	0.9525	1.0000	MAL	5	0.1770	0.8194	0.7500	MAL	5	127596
Punjabi	-0.0448	0.3306	0.3333	grey	4	0.1198	0.7421	0.6667	MAL	4					0	383
Romanian	0.0560	0.2740	0.5714	grey	8	-0.1231	0.7452	0.2000	anti-MAL	6	0.1502	0.5374	0.6000	MAL	6	103639
Russian	0.1087	0.6381	0.7143	MAL	8	0.0564	0.4466	0.8000	grey	6	0.2729	0.8103	0.7500	MAL	5	371816
Ruuli	0.1593	0.8007	0.5000	MAL	3			0.0000		2			1.0000		2	1149
Sanskrit	0.2822	0.8283	0.8571	MAL	8	0.0640	0.6228	0.8333	grey	7	0.6279	0.8676	1.0000	MAL	5	34594
Scottish_Gaelic	0.1628	0.7093	0.8000	MAL	6			0.0000		2	0.2589	0.8560	0.8000	MAL	6	8649
Serbian	0.1538	0.9138	0.8000	MAL	6	0.1622	0.7777	0.6667	MAL	4	0.3493	0.9608	1.0000	MAL	4	8301
Shanghainese	0.0673	0.4311	0.6667	grey	4	-0.0471	0.9697	0.0000	grey	3			0.0000		2	1460
Sicilian	0.2789	0.9353	1.0000	MAL	5	-0.0590	0.3719	0.5000	grey	3	0.2584	0.9083	1.0000	MAL	3	1486
Sindhi	-0.0366	0.3052	0.5000	grey	7	0.0273	0.1663	0.6667	grey	7			1.0000		2	9846
Sinhala			1.0000		2			1.0000		2					0	180
Skolt_Sami	0.1368	0.6674	1.0000	MAL	4			0.0000		2					1	506
Slovak	0.1254	0.8626	0.8000	MAL	6	0.1790	0.6698	0.5000	MAL	5	0.2763	0.8723	0.6667	MAL	4	13592
Slovenian	0.2288	0.9693	0.8571	MAL	8	0.0871	0.7004	0.8333	grey	7	0.3728	0.9689	0.7500	MAL	5	32857
South_Levantine_Arabic					0					0					0	104
Southern_Kurdish	0.0183	0.0054	0.5000	grey	3			1.0000		2					1	266
Spanish	0.2871	0.8339	1.0000	MAL	8	0.2915	0.9195	0.7500	MAL	5	0.2833	0.9492	0.8000	MAL	6	84545
Spanish_Sign_Language			0.0000		2			1.0000		2					1	284
Swedish	0.0575	0.2047	0.6667	grey	7	0.1384	0.7888	0.6667	MAL	4	0.2789	0.8417	0.7500	MAL	5	23390
Swedish_Sign_Language	-0.1290	0.4094	0.5000	anti-MAL	3					1			0.0000		2	289
Tagalog			1.0000		2					0					1	198
Tamil	0.3439	0.9938	1.0000	MAL	5	0.3538	0.9730	1.0000	MAL	5					0	1660
Tatar	0.0285	0.0219	0.5000	grey	3	0.1196	0.3681	0.5000	MAL	3					0	300
Teko	0.1108	0.9959	1.0000	MAL	3			1.0000		2			1.0000		2	647
Telugu	0.0943	0.9994	1.0000	grey	3	0.0863	0.9968	1.0000	grey	3					0	1262
Telugu_English					1					1					0	82
Thai	0.1184	0.8454	0.8333	MAL	7	-0.2810	0.9534	0.0000	anti-MAL	4	0.1629	0.4546	0.7500	MAL	5	16883
Tswana					0					0					0	27
Tupinamba	0.1569	0.5824	0.6667	MAL	4			1.0000		2	0.1303	0.5055	0.5000	MAL	3	522
Turkish	0.1212	0.9712	1.0000	MAL	7	0.1073	0.9960	1.0000	MAL	6	-0.0097	0.0240	0.5000	grey	3	98597
Turkish_English					0					0					0	68
Turkish_German	0.0648	0.5866	0.7143	grey	8	0.1169	0.9663	0.8333	MAL	7	0.3837	0.8973	0.5000	MAL	5	4295
Ukrainian	0.1521	0.9217	0.8000	MAL	6	0.0498	0.1661	0.5000	grey	5	0.1401	0.3114	0.6667	MAL	4	23217
Umbrian			0.0000		2			0.0000		2					0	235
Upper_Sorbian	0.2912	0.8736	0.7500	MAL	5	0.2513	0.7388	0.6667	MAL	4	0.5612	0.9540	1.0000	MAL	3	788
Urdu	0.1378	0.7576	0.5000	MAL	7	0.0238	0.1386	0.5000	grey	7	0.8828	0.9594	1.0000	MAL	3	11251
Uyghur	0.0524	0.5959	0.6000	grey	6	0.0352	0.4130	0.6000	grey	6			0.0000		2	6678
Uzbek	0.1577	0.9440	1.0000	MAL	5	0.1683	0.9083	0.7500	MAL	5					0	2187
Veps			1.0000		2					0					1	171
Vietnamese	0.0395	0.3691	0.6000	grey	6	-0.2728	0.8379	0.2500	anti-MAL	5	0.2351	0.8728	1.0000	MAL	3	8734
Warlpiri					0					0					0	67
Welsh	0.6192	0.9910	1.0000	MAL	5			0.0000		2	0.6468	0.9863	1.0000	MAL	4	3078
Western_Armenian	-0.0167	0.4216	0.4000	grey	6	-0.0831	0.9995	0.0000	grey	4	0.2601	0.9376	1.0000	MAL	3	13701
Western_Sierra_Puebla_Nahuatl	0.0431	0.1193	0.6667	grey	4	-0.0412	0.2494	0.5000	grey	3			0.0000		2	3416
Wolof	0.0275	0.1760	0.6000	grey	6	-0.3098	0.9877	0.0000	anti-MAL	4	0.2225	0.8442	0.5000	MAL	3	7239
Xavante	0.0501	0.0293	0.6667	grey	4	0.0233	0.8807	1.0000	grey	3					1	272
Xibe	-0.2575	0.7876	0.2000	anti-MAL	6	-0.2616	0.7777	0.2000	anti-MAL	6					0	2403
Yakut			1.0000		2			1.0000		2					0	260
Yiddish	-0.0441	0.1728	0.5000	grey	5	-0.1654	0.7350	0.0000	anti-MAL	4	0.2908	1.0000	1.0000	MAL	3	2886
Yoruba	0.1585	0.4269	0.5000	MAL	5	-0.1341	0.8996	0.0000	anti-MAL	3	0.5625	0.9907	1.0000	MAL	3	1053
Yupik	-0.3831	0.9043	0.0000	anti-MAL	4			0.0000		2	0.1119	0.1117	0.5000	MAL	3	527
Zaar	0.0511	0.5017	0.6000	grey	6	-0.1349	0.9177	0.3333	anti-MAL	4	0.3223	0.9467	0.6667	MAL	4	2900
Zazaki					1					1					0	200
