language	side	a	b	c	r2	n_points	n_pairs	coverage	n_failed
Gheg	any	2.8265	-0.0482	-0.0104	0.0171	12	6873	1.000	0
Gorontalo	any	1.9090	-0.3983	-0.1274	0.6911	4	79	1.000	0
Gothic	any	2.5840	-0.0046	-0.0294	0.6561	11	29967	1.000	0
Greek	any	5.7731	-0.1508	0.0311	0.8026	11	30432	1.000	0
Guajajara	any	1.7914	-0.1870	-0.0208	0.7275	11	3582	1.000	0
Guarani	any	1.4984	-0.5750	-0.1568	0.6751	5	71	1.000	0
Gujarati	any	2.8345	-0.2913	-0.0440	0.7319	6	459	1.000	0
Gwichin	any	0.7360	-0.2502	-0.3320	0.9744	5	574	1.000	0
Haitian_Creole	any	4.6831	-0.4608	-0.0965	0.8383	11	22073	1.000	0
Hausa	any	4.2527	-0.1731	0.0449	0.8633	8	8392	1.000	0
Hebrew	any	6.6256	-0.0104	0.0434	0.6995	11	24712	1.000	0
Highland_Puebla_Nahuatl	any	2.3580	-0.1940	-0.0648	0.3311	10	4499	1.000	0
Hindi	any	5.2635	-0.0172	0.0512	0.8875	11	26647	1.000	0
Hittite	any	2.4326	0.1909	0.0865	0.2886	8	668	1.000	0
Hungarian	any	4.7587	-0.0160	0.0390	0.8189	10	15139	1.000	0
Icelandic	any	4.1295	0.0597	-0.0069	0.3766	12	36641	1.000	0
Ika	any	2.7095	-0.2947	-0.0802	0.8756	6	1428	1.000	0
Indonesian	any	4.7118	-0.0567	-0.0045	0.1210	12	27100	1.000	0
Irish	any	3.9666	0.3916	0.1207	0.6780	15	24509	1.000	0
Italian	any	7.0914	-0.3560	-0.0144	0.9074	12	21916	1.000	0
Japanese	any	7.0611	0.2567	0.0946	0.7378	14	14764	1.000	0
Javanese	any	3.5727	0.0926	0.0725	0.5573	10	4782	1.000	0
Kaapor	any	1.1752	0.0385	-0.0115	0.1191	7	207	1.000	0
Kadiweu	any	1.0271	0.5947	0.1026	0.7936	4	105	1.000	0
Kangri	any	2.6731	-0.0340	0.0569	0.7550	7	672	1.000	0
Karelian	any	3.4808	-0.0706	0.0474	0.4707	8	1251	1.000	0
Karo	any	1.7076	0.1641	0.1525	0.9842	6	640	1.000	0
Kazakh	any	2.9812	-0.2019	-0.0114	0.8541	8	3945	1.000	0
Khoekhoe	any	2.5822	-0.3997	-0.0697	0.8895	8	4351	1.000	0
Kiche	any	1.6130	0.1204	-0.0236	0.8963	8	3706	1.000	0
Komi_Permyak	any	1.6467	-0.1848	-0.0975	0.2008	9	536	1.000	0
Komi_Zyrian	any	2.4789	0.1570	0.0446	0.3915	10	4479	1.000	0
Korean	any	2.9407	0.6465	0.2255	0.9602	10	38106	1.000	0
Kyrgyz	any	2.5290	0.3784	0.1575	0.4445	9	11044	1.000	0
Latgalian	any	2.3545	-0.3907	-0.0776	0.2831	5	86	1.000	0
Latin	any	3.0746	-0.0062	-0.0505	0.7925	14	36774	1.000	0
Latvian	any	3.8143	-0.2051	-0.0608	0.1885	9	41008	1.000	0
Ligurian	any	3.4889	-0.4513	-0.1588	0.5428	10	2171	1.000	0
Lithuanian	any	4.6629	-0.0064	0.0254	0.8702	12	26288	1.000	0
Livvi	any	3.8619	0.1047	0.1310	0.7882	9	747	1.000	0
Low_Saxon	any	3.0855	0.0774	-0.0055	0.3530	10	8744	1.000	0
Luxembourgish	any	3.4647	-0.1214	0.1956	0.9704	5	51	1.000	0
Macedonian	any	1.9723	0.4763	0.1688	0.6483	7	689	1.000	0
Madi	any	1.2486	0.5091	0.1422	0.1821	6	53	1.000	0
Maghrebi_Arabic_French	any	2.3117	-0.2151	-0.1345	0.9291	13	8701	1.000	0
Makurap	any	2.0233	0.0996	0.1395	0.5253	6	95	1.000	0
Malayalam	any	2.9734	0.0237	0.0525	0.5915	7	720	1.000	0
Maltese	any	6.9122	-0.2088	0.0152	0.9093	11	12583	1.000	0
Manx	any	2.4613	-1.3699	-0.4632	0.6446	9	8667	1.000	0
Marathi	any	2.7741	-0.0522	-0.0004	0.6481	10	32992	1.000	0
Mbya_Guarani	any	3.9180	-0.0117	0.0804	0.7332	7	610	1.000	0
Middle_Armenian	any	2.2018	-0.1039	-0.1756	0.7686	7	444	1.000	0
Middle_French	any	5.1286	-0.3302	-0.0434	0.9139	14	34598	1.000	0
Moksha	any	2.1039	0.0892	0.0338	0.0217	7	2203	1.000	0
Munduruku	any	1.5570	-0.4309	-0.1809	0.5298	9	467	1.000	0
Naga	any	1.7245	-0.4517	-0.1453	0.6380	8	1183	1.000	0
Naija	any	3.8783	-0.5835	-0.1397	0.9425	12	27450	1.000	0
Neapolitan	any	1.9096	-0.6641	-0.2855	0.3814	4	58	1.000	0
Nenets	any	1.5277	0.0385	-0.0269	0.3169	7	650	1.000	0
Nepali	any	1.6645	-0.0131	-0.0157	0.0950	11	509	1.000	0
Nheengatu	any	2.2117	0.0137	-0.0159	0.3461	10	12500	1.000	0
North_Sami	any	1.9192	-0.3188	-0.0936	0.7136	11	11009	1.000	0
Northern_Kurdish	any	3.2669	0.1313	0.0833	0.5374	9	3170	1.000	0
Northwest_Gbaya	any	1.6966	-0.0610	-0.0324	0.0973	9	1628	1.000	0
Norwegian	any	4.6520	-0.1359	0.0166	0.6398	10	27900	1.000	0
Occitan	any	5.0751	-0.3799	-0.0886	0.7422	8	7398	1.000	0
Odia	any	3.4086	-0.1377	0.0126	0.6486	10	2397	1.000	0
Old_Church_Slavonic	any	2.1672	-0.1833	-0.1044	0.9035	12	49787	1.000	0
Old_East_Slavic	any	2.5718	-0.0320	-0.0943	0.9342	12	37735	1.000	0
Old_English	any	1.2489	-0.0637	-0.1781	0.7407	4	62	1.000	0
Old_French	any	3.0682	-0.3698	-0.0869	0.7945	13	43309	1.000	0
Old_Georgian	any	5.4797	0.4710	0.0981	0.3154	11	2497	1.000	0
Old_Irish	any	2.3103	-0.6632	-0.2824	0.5133	7	227	1.000	0
Old_Occitan	any	5.4519	-0.1527	-0.0610	0.2947	12	16163	1.000	0
Old_Turkish	any	3.0000	-0.5790	-0.2007	1.0000	3	24	1.000	0
Ottoman_Turkish	any	2.7545	-0.3072	-0.1184	0.6400	8	9292	1.000	0
Pashto	any	3.7461	0.0176	-0.0195	0.1133	9	1741	1.000	0
Paumari	any	1.7695	-0.9996	-0.3043	0.7847	6	222	1.000	0
Persian	any	4.1578	-0.1568	-0.0270	0.6054	10	32163	1.000	0
Pesh	any	2.4843	-0.0335	-0.0063	0.0245	6	1717	1.000	0
Phrygian	any	2.4015	-0.1654	0.0068	0.6999	10	664	1.000	0
Polish	any	3.9461	-0.3327	-0.0405	0.9496	9	39881	1.000	0
Pomak	any	3.2559	0.2248	0.0984	0.7553	12	12357	1.000	0
Portuguese	any	7.0175	-0.3293	-0.0346	0.8053	10	24179	1.000	0
Punjabi	any	3.1224	-0.0489	0.0157	0.4294	10	1212	1.000	0
Romanian	any	4.1241	-0.2020	-0.0472	0.2803	11	30256	1.000	0
Russian	any	4.1418	-0.2878	-0.0472	0.5687	13	38271	1.000	0
Ruuli	any	1.9411	-0.3729	-0.0862	0.7828	6	2659	1.000	0
Sanskrit	any	3.1357	-0.5977	-0.1590	0.8324	10	39850	1.000	0
Scottish_Gaelic	any	4.2104	0.4522	0.1132	0.4695	12	26276	1.000	0
Serbian	any	6.1138	-0.6240	-0.1084	0.9541	10	19907	1.000	0
Shanghainese	any	1.7788	-0.1013	-0.0155	0.8687	8	3820	1.000	0
Sicilian	any	3.9931	-0.0358	0.0090	0.4257	12	4908	1.000	0
Sindhi	any	3.4247	0.0946	0.0446	0.4730	11	28801	1.000	0
Sinhala	any	1.9668	0.1255	0.0463	0.0515	8	510	1.000	0
Skolt_Sami	any	3.5278	0.1678	0.1422	0.8537	9	1728	1.000	0
Slovak	any	3.2370	-0.1136	0.0390	0.9594	9	40604	1.000	0
Slovenian	any	4.7176	-0.4331	-0.0840	0.8882	12	24850	1.000	0
South_Levantine_Arabic	any	2.5183	-0.0510	0.0366	0.6392	6	257	1.000	0
Southern_Kurdish	any	1.9755	-0.0530	0.0186	0.1328	7	1068	1.000	0
Spanish	any	7.1898	-0.1604	0.0085	0.7630	10	24157	1.000	0
Spanish_Sign_Language	any	1.5054	0.0397	0.0279	0.4629	5	568	1.000	0
Swedish	any	3.7614	-0.2094	-0.0457	0.2959	13	31115	1.000	0
Swedish_Sign_Language	any	3.4306	-0.3790	-0.0301	0.9965	6	872	1.000	0
Tagalog	any	2.5648	0.5159	0.2220	0.6857	7	576	1.000	0
Tamil	any	4.2096	-1.1243	-0.2591	0.9467	10	3978	1.000	0
Tatar	any	3.5088	0.5216	0.2050	0.6188	8	837	1.000	0
Teko	any	1.4332	-0.1358	-0.0137	0.4861	7	1319	1.000	0
Telugu	any	1.2913	0.0867	0.0310	0.0565	6	3663	1.000	0
Telugu_English	any	1.3531	-0.3927	-0.1014	0.4999	5	240	1.000	0
Thai	any	5.2152	-0.1248	-0.0198	0.7446	10	35565	1.000	0
Tswana	any	2.5913	-2.1517	-0.6285	0.6921	6	95	1.000	0
Tupinamba	any	2.2380	0.0398	0.0468	0.7645	12	1706	1.000	0
Turkish	any	2.6841	-0.0662	0.0032	0.7086	10	38625	1.000	0
Turkish_English	any	2.0053	-0.1504	-0.0517	0.0630	5	175	1.000	0
Turkish_German	any	2.4929	0.1730	0.0477	0.2254	14	15037	1.000	0
Ukrainian	any	4.8386	-0.4598	-0.0941	0.8359	11	33841	1.000	0
Umbrian	any	1.7790	0.4581	0.0952	0.4734	7	482	1.000	0
Upper_Sorbian	any	4.3048	-0.0503	0.0237	0.4623	9	2770	1.000	0
Urdu	any	7.0757	-0.2611	0.0133	0.8680	10	25341	1.000	0
Uyghur	any	2.4609	-0.0498	-0.0121	0.0655	9	19804	1.000	0
Uzbek	any	2.6869	0.0843	0.0633	0.8122	12	6800	1.000	0
Veps	any	3.5211	-0.4132	-0.0651	0.6096	7	521	1.000	0
Vietnamese	any	3.3239	0.0489	0.0280	0.2865	12	24891	1.000	0
Warlpiri	any	0.8882	-0.3547	-0.1919	0.6729	4	95	1.000	0
Welsh	any	9.2384	-0.5390	-0.0125	0.9851	8	9967	1.000	0
Western_Armenian	any	4.4220	-0.1937	-0.0256	0.8531	12	23174	1.000	0
Western_Sierra_Puebla_Nahuatl	any	2.2128	-0.1441	-0.0317	0.4735	9	9048	1.000	0
Wolof	any	4.7800	-0.5955	-0.1374	0.9447	9	13787	1.000	0
Xavante	any	1.5025	0.0245	-0.0204	0.1944	12	1065	1.000	0
Xibe	any	2.5324	-0.1089	-0.1411	0.8562	10	6371	1.000	0
Yakut	any	1.6861	0.0451	0.0669	0.4246	6	697	1.000	0
Yiddish	any	2.9686	-0.7875	-0.1868	0.7937	9	6604	1.000	0
Yoruba	any	7.2466	-0.2839	0.0326	0.9396	10	3243	1.000	0
Yupik	any	1.2080	0.3794	0.0457	0.5524	6	1703	1.000	0
Zaar	any	2.6723	-0.6161	-0.1295	0.8900	11	4984	1.000	0
Zazaki	any	2.0017	-0.1239	0.0095	0.5195	11	710	1.000	0
