language	gupos	rel1	rel2	dupos	n	n_right	sum_delta	sum_abs_delta
Abkhaz	NOUN	mod		PROPN	28	0	-36	36
Abkhaz	NOUN	mod		VERB	180	25	-142	222
Abkhaz	NOUN	parataxis		NOUN	1	1	4	4
Abkhaz	NOUN	parataxis		PROPN	1	1	2	2
Abkhaz	NOUN	punct		PUNCT	124	36	-55	171
Abkhaz	NOUN	subj		NOUN	1	1	2	2
Abkhaz	NOUN	subj		VERB	1	0	-2	2
Abkhaz	NOUN	udep		ADP	3	0	-8	8
Abkhaz	NOUN	udep		NOUN	1	0	-1	1
Abkhaz	NOUN	udep		PART	1	0	-1	1
Abkhaz	NOUN	vocative		NOUN	1	1	2	2
Abkhaz	NOUN	vocative		VERB	1	1	3	3
Abkhaz	NUM	compound		NUM	1	0	-1	1
Abkhaz	NUM	conj	coord	NUM	1	1	3	3
Abkhaz	NUM	det		PRON	1	0	-1	1
Abkhaz	NUM	mod		NUM	1	0	-1	1
Abkhaz	NUM	punct		PUNCT	2	0	-2	2
Abkhaz	NUM	udep		NOUN	1	0	-1	1
Abkhaz	PART	comp	obj	ADV	1	0	-1	1
Abkhaz	PART	comp	obj	AUX	2	0	-17	17
Abkhaz	PART	comp	obj	INTJ	2	0	-4	4
Abkhaz	PART	comp	obj	NOUN	9	0	-25	25
Abkhaz	PART	comp	obj	NUM	1	0	-1	1
Abkhaz	PART	comp	obj	PROPN	3	0	-8	8
Abkhaz	PART	comp	obj	VERB	78	0	-147	147
Abkhaz	PART	conj	coord	PART	1	1	3	3
Abkhaz	PART	discourse		INTJ	1	0	-14	14
Abkhaz	PART	mod		ADP	1	0	-2	2
Abkhaz	PART	mod		ADV	16	1	-71	73
Abkhaz	PART	mod		AUX	1	1	8	8
Abkhaz	PART	punct		PUNCT	48	5	-212	238
Abkhaz	PRON	conj	appos	NOUN	6	6	11	11
Abkhaz	PRON	conj	appos	PROPN	2	2	5	5
Abkhaz	PRON	conj	appos	VERB	1	1	4	4
Abkhaz	PRON	conj	coord	NOUN	1	1	2	2
Abkhaz	PRON	conj	coord	PRON	4	4	11	11
Abkhaz	PRON	det		PRON	6	5	4	6
Abkhaz	PRON	mod		ADJ	1	0	-2	2
Abkhaz	PRON	mod		ADP	1	0	-3	3
Abkhaz	PRON	mod		ADV	3	2	1	3
Abkhaz	PRON	mod		NOUN	3	0	-3	3
Abkhaz	PRON	mod		NUM	1	1	1	1
Abkhaz	PRON	mod		PART	3	0	-3	3
Abkhaz	PRON	mod		VERB	25	4	-16	28
Abkhaz	PRON	orphan		ADV	1	0	-1	1
Abkhaz	PRON	orphan		NOUN	4	4	11	11
Abkhaz	PRON	parataxis		VERB	1	1	4	4
Abkhaz	PRON	punct		PUNCT	15	5	-5	17
Abkhaz	PRON	udep		ADP	4	0	-5	5
Abkhaz	PRON	udep		PART	3	0	-3	3
Abkhaz	PROPN	conj	appos	NOUN	3	3	11	11
Abkhaz	PROPN	conj	coord	ADP	1	1	2	2
Abkhaz	PROPN	conj	coord	NOUN	4	4	7	7
Abkhaz	PROPN	conj	coord	PRON	7	7	8	8
Abkhaz	PROPN	conj	coord	PROPN	9	9	15	15
Abkhaz	PROPN	flat		PROPN	18	18	18	18
Abkhaz	PROPN	mod		ADJ	1	1	1	1
Abkhaz	PROPN	mod		ADV	1	1	1	1
Abkhaz	PROPN	mod		VERB	5	0	-5	5
Abkhaz	PROPN	orphan		NOUN	1	1	2	2
Abkhaz	PROPN	punct		PUNCT	33	16	6	40
Abkhaz	PUNCT	punct		PUNCT	1	1	1	1
Abkhaz	VERB	cc		ADV	1	0	-4	4
Abkhaz	VERB	cc		CCONJ	81	0	-285	285
Abkhaz	VERB	comp	obj	ADJ	7	1	-4	8
Abkhaz	VERB	comp	obj	ADP	1	0	-1	1
Abkhaz	VERB	comp	obj	ADV	13	0	-17	17
Abkhaz	VERB	comp	obj	AUX	10	0	-35	35
Abkhaz	VERB	comp	obj	CCONJ	1	0	-2	2
Abkhaz	VERB	comp	obj	INTJ	1	0	-3	3
Abkhaz	VERB	comp	obj	NOUN	467	5	-606	634
Abkhaz	VERB	comp	obj	NUM	4	0	-4	4
Abkhaz	VERB	comp	obj	PART	23	4	-4	44
Abkhaz	VERB	comp	obj	PRON	58	0	-87	87
Abkhaz	VERB	comp	obj	PROPN	9	0	-19	19
Abkhaz	VERB	comp	obj	VERB	338	14	-813	899
Abkhaz	VERB	comp	obl	ADJ	2	0	-2	2
Abkhaz	VERB	comp	obl	ADV	1	0	-3	3
Abkhaz	VERB	comp	obl	NOUN	431	19	-492	570
Abkhaz	VERB	comp	obl	NUM	3	0	-5	5
Abkhaz	VERB	comp	obl	PART	2	0	-2	2
Abkhaz	VERB	comp	obl	PRON	65	6	-98	110
Abkhaz	VERB	comp	obl	PROPN	27	0	-41	41
Abkhaz	VERB	comp	obl	VERB	38	2	-45	53
Abkhaz	VERB	comp	pred	ADJ	2	0	-2	2
Abkhaz	VERB	comp	pred	ADV	2	0	-4	4
Abkhaz	VERB	comp	pred	NOUN	46	1	-63	65
Abkhaz	VERB	comp	pred	PART	3	0	-4	4
Abkhaz	VERB	comp	pred	PRON	3	0	-3	3
Abkhaz	VERB	compound		ADV	11	0	-11	11
Abkhaz	VERB	compound		NOUN	2	0	-2	2
Abkhaz	VERB	compound		VERB	3	3	3	3
Abkhaz	VERB	conj		VERB	1	1	1	1
Abkhaz	VERB	conj	coord	AUX	25	25	125	125
Abkhaz	VERB	conj	coord	NOUN	1	1	2	2
Abkhaz	VERB	conj	coord	PART	1	1	5	5
Abkhaz	VERB	conj	coord	PRON	2	2	6	6
Abkhaz	VERB	conj	coord	PROPN	1	1	2	2
Abkhaz	VERB	conj	coord	VERB	386	386	1680	1680
Abkhaz	VERB	det		PRON	1	0	-1	1
Abkhaz	VERB	discourse		INTJ	9	4	-21	33
Abkhaz	VERB	discourse		PART	1	1	1	1
Abkhaz	VERB	dislocated		ADJ	1	0	-6	6
Abkhaz	VERB	dislocated		NOUN	2	0	-11	11
Abkhaz	VERB	mod		ADJ	8	0	-14	14
Abkhaz	VERB	mod		ADP	65	7	-128	192
Abkhaz	VERB	mod		ADV	685	35	-1246	1328
Abkhaz	VERB	mod		AUX	21	3	-32	72
Abkhaz	VERB	mod		CCONJ	1	0	-1	1
Abkhaz	VERB	mod		NOUN	26	1	-47	53
Abkhaz	VERB	mod		NUM	2	0	-3	3
Abkhaz	VERB	mod		PART	49	6	-45	127
Abkhaz	VERB	mod		PRON	7	0	-7	7
Abkhaz	VERB	mod		PROPN	5	0	-14	14
Abkhaz	VERB	mod		VERB	1094	92	-2580	3384
Abkhaz	VERB	parataxis		ADV	1	1	3	3
Abkhaz	VERB	parataxis		AUX	2	2	20	20
Abkhaz	VERB	parataxis		INTJ	1	0	-4	4
Abkhaz	VERB	parataxis		NOUN	2	2	6	6
Abkhaz	VERB	parataxis		PART	2	2	12	12
Abkhaz	VERB	parataxis		VERB	85	84	626	634
Abkhaz	VERB	punct		PUNCT	3333	1710	-1227	9495
Abkhaz	VERB	subj		ADJ	7	0	-14	14
Abkhaz	VERB	subj		ADV	2	0	-6	6
Abkhaz	VERB	subj		AUX	1	0	-1	1
Abkhaz	VERB	subj		INTJ	1	0	-3	3
Abkhaz	VERB	subj		NOUN	749	140	-889	1289
Abkhaz	VERB	subj		NUM	13	3	-31	37
Abkhaz	VERB	subj		PART	3	0	-4	4
Abkhaz	VERB	subj		PRON	270	37	-420	498
Abkhaz	VERB	subj		PROPN	168	56	-254	390
Abkhaz	VERB	subj		VERB	125	22	-96	190
Abkhaz	VERB	udep		ADJ	6	0	-12	12
Abkhaz	VERB	udep		ADP	254	10	-491	547
Abkhaz	VERB	udep		ADV	3	0	-10	10
Abkhaz	VERB	udep		NOUN	200	11	-328	364
Abkhaz	VERB	udep		NUM	1	0	-1	1
Abkhaz	VERB	udep		PROPN	14	1	-15	17
Abkhaz	VERB	udep		VERB	5	0	-6	6
Abkhaz	VERB	vocative		NOUN	29	23	23	73
Abkhaz	VERB	vocative		PRON	2	0	-12	12
Abkhaz	VERB	vocative		PROPN	13	6	-15	39
Abkhaz	__0__	root		ADP	2	2	5	5
Abkhaz	__0__	root		ADV	20	20	42	42
Abkhaz	__0__	root		AUX	85	85	427	427
Abkhaz	__0__	root		INTJ	1	1	3	3
Abkhaz	__0__	root		NOUN	9	9	31	31
Abkhaz	__0__	root		PART	2	2	17	17
Abkhaz	__0__	root		PRON	3	3	7	7
Abkhaz	__0__	root		PROPN	1	1	2	2
Abkhaz	__0__	root		PUNCT	1	1	1	1
Abkhaz	__0__	root		VERB	1421	1421	7777	7777
Akkadian	ADJ	conj	coord	ADJ	1	1	1	1
Akkadian	ADJ	mod		NOUN	1	1	1	1
Akkadian	ADJ	mod		PART	1	0	-1	1
Akkadian	ADJ	udep		ADP	1	1	1	1
Akkadian	ADP	cc		CCONJ	1	0	-1	1
Akkadian	ADP	comp	obj	ADP	3	3	3	3
Akkadian	ADP	comp	obj	ADV	3	3	3	3
Akkadian	ADP	comp	obj	NOUN	114	114	118	118
Akkadian	ADP	comp	obj	PRON	2	2	2	2
Akkadian	ADP	comp	obj	PROPN	38	38	38	38
Akkadian	ADP	comp	obj	VERB	14	12	18	22
Akkadian	ADP	comp	obj	X	1	1	1	1
Akkadian	ADP	comp	obl	SCONJ	2	2	8	8
Akkadian	ADP	conj	coord	ADP	3	3	16	16
Akkadian	ADP	det		PRON	1	1	1	1
Akkadian	ADP	mod		ADJ	1	0	-1	1
Akkadian	ADP	mod		ADV	2	0	-3	3
Akkadian	ADP	subj		NOUN	2	1	-3	7
Akkadian	ADP	subj		PROPN	2	0	-17	17
Akkadian	ADP	udep		ADP	4	0	-27	27
Akkadian	ADP	unk		SCONJ	1	1	1	1
Akkadian	DET	flat		NOUN	1	1	1	1
Akkadian	NOUN	cc		CCONJ	28	0	-29	29
Akkadian	NOUN	comp	obj	ADP	1	1	2	2
Akkadian	NOUN	comp	obj	NOUN	1	0	-22	22
Akkadian	NOUN	comp	obl	NOUN	1	1	1	1
Akkadian	NOUN	comp	obl	SCONJ	1	1	3	3
Akkadian	NOUN	compound		NOUN	1	1	1	1
Akkadian	NOUN	conj	appos	NOUN	10	10	34	34
Akkadian	NOUN	conj	appos	PROPN	6	6	9	9
Akkadian	NOUN	conj	coord	ADP	2	2	5	5
Akkadian	NOUN	conj	coord	NOUN	43	43	111	111
Akkadian	NOUN	conj	coord	PROPN	1	1	2	2
Akkadian	NOUN	conj	coord	VERB	1	1	4	4
Akkadian	NOUN	conj	coord	X	1	1	3	3
Akkadian	NOUN	det		DET	2	0	-3	3
Akkadian	NOUN	det		PRON	160	160	161	161
Akkadian	NOUN	flat		NOUN	2	2	2	2
Akkadian	NOUN	flat		NUM	1	1	1	1
Akkadian	NOUN	flat		PROPN	1	1	1	1
Akkadian	NOUN	list		NOUN	23	23	103	103
Akkadian	NOUN	mod		ADJ	94	85	101	119
Akkadian	NOUN	mod		ADP	1	0	-31	31
Akkadian	NOUN	mod		ADV	2	1	-1	3
Akkadian	NOUN	mod		NOUN	162	161	181	183
Akkadian	NOUN	mod		NUM	8	1	-8	10
Akkadian	NOUN	mod		PART	8	0	-8	8
Akkadian	NOUN	mod		PROPN	109	109	129	129
Akkadian	NOUN	mod		SCONJ	1	1	3	3
Akkadian	NOUN	mod		VERB	1	0	-1	1
Akkadian	NOUN	subj		NOUN	1	0	-6	6
Akkadian	NOUN	udep		ADP	38	36	67	81
Akkadian	NOUN	udep		NOUN	1	1	1	1
Akkadian	NOUN	udep		NUM	1	1	1	1
Akkadian	NOUN	udep		SCONJ	5	5	12	12
Akkadian	NOUN	unk		NOUN	1	1	2	2
Akkadian	NOUN	unk		X	11	4	-2	12
Akkadian	NUM	flat		DET	2	2	2	2
Akkadian	NUM	flat		NUM	2	2	2	2
Akkadian	PRON	cc		CCONJ	1	0	-1	1
Akkadian	PRON	conj	appos	NOUN	1	1	1	1
Akkadian	PRON	conj	appos	PROPN	1	1	1	1
Akkadian	PRON	mod		ADV	1	0	-9	9
Akkadian	PRON	mod		NOUN	1	1	1	1
Akkadian	PRON	mod		PART	1	0	-1	1
Akkadian	PRON	mod		PROPN	1	0	-40	40
Akkadian	PRON	subj		PROPN	1	0	-10	10
Akkadian	PRON	udep		ADP	2	0	-10	10
Akkadian	PRON	udep		NOUN	1	0	-3	3
Akkadian	PRON	unk		X	1	1	2	2
Akkadian	PRON	vocative		PROPN	1	0	-8	8
Akkadian	PROPN	cc		CCONJ	35	0	-35	35
Akkadian	PROPN	conj	appos	NOUN	121	121	445	445
Akkadian	PROPN	conj	coord	ADP	2	2	7	7
Akkadian	PROPN	conj	coord	NOUN	2	2	3	3
Akkadian	PROPN	conj	coord	PROPN	37	37	78	78
Akkadian	PROPN	det		DET	6	0	-6	6
Akkadian	PROPN	det		PRON	5	4	49	51
Akkadian	PROPN	list		PROPN	5	5	5	5
Akkadian	PROPN	mod		ADJ	4	4	4	4
Akkadian	PROPN	mod		NOUN	17	17	17	17
Akkadian	PROPN	mod		PROPN	1	1	2	2
Akkadian	PROPN	udep		NOUN	1	1	6	6
Akkadian	PROPN	unk		X	1	1	3	3
Akkadian	SCONJ	cc		CCONJ	2	0	-12	12
Akkadian	SCONJ	comp	obj	ADP	3	3	8	8
Akkadian	SCONJ	comp	obj	NOUN	2	2	8	8
Akkadian	SCONJ	comp	obj	PRON	1	1	7	7
Akkadian	SCONJ	comp	obj	PROPN	1	1	1	1
Akkadian	SCONJ	comp	obj	VERB	28	28	119	119
Akkadian	SCONJ	conj	coord	NOUN	1	1	5	5
Akkadian	SCONJ	conj	coord	SCONJ	1	1	9	9
Akkadian	SCONJ	subj		NOUN	2	0	-5	5
Akkadian	SCONJ	subj		PROPN	3	0	-18	18
Akkadian	VERB	cc		CCONJ	30	0	-133	133
Akkadian	VERB	cc		PART	2	0	-22	22
Akkadian	VERB	comp	obj	ADP	2	0	-22	22
Akkadian	VERB	comp	obj	NOUN	114	53	-225	351
Akkadian	VERB	comp	obj	PROPN	11	6	-5	21
Akkadian	VERB	comp	obj	SCONJ	5	1	-69	77
Akkadian	VERB	comp	obl	ADP	2	1	-14	20
Akkadian	VERB	comp	obl	NOUN	5	0	-58	58
Akkadian	VERB	comp	obl	PRON	3	2	-8	12
Akkadian	VERB	comp	obl	PROPN	3	0	-35	35
Akkadian	VERB	comp	obl	SCONJ	15	4	-164	192
Akkadian	VERB	comp	obl	VERB	2	0	-16	16
Akkadian	VERB	comp	pred	SCONJ	1	0	-14	14
Akkadian	VERB	compound		ADP	2	0	-13	13
Akkadian	VERB	compound		NOUN	1	1	1	1
Akkadian	VERB	compound		VERB	3	0	-4	4
Akkadian	VERB	conj	coord	NOUN	1	1	3	3
Akkadian	VERB	conj	coord	PRON	1	1	2	2
Akkadian	VERB	conj	coord	SCONJ	1	1	8	8
Akkadian	VERB	conj	coord	VERB	36	36	198	198
Akkadian	VERB	det		PRON	7	6	6	8
Akkadian	VERB	mod		ADJ	1	1	1	1
Akkadian	VERB	mod		ADP	7	0	-39	39
Akkadian	VERB	mod		ADV	24	7	-24	42
Akkadian	VERB	mod		NOUN	3	2	-6	10
Akkadian	VERB	mod		PART	21	0	-21	21
Akkadian	VERB	parataxis		ADP	1	1	7	7
Akkadian	VERB	parataxis		VERB	34	34	158	158
Akkadian	VERB	subj		NOUN	20	5	-113	123
Akkadian	VERB	subj		PRON	1	0	-4	4
Akkadian	VERB	subj		PROPN	15	0	-258	258
Akkadian	VERB	udep		ADP	93	21	-378	448
Akkadian	VERB	udep		NOUN	16	9	-19	41
Akkadian	VERB	unk		ADP	1	0	-2	2
Akkadian	VERB	unk		X	11	6	11	41
Akkadian	VERB	vocative		NOUN	6	0	-60	60
Akkadian	VERB	vocative		PRON	1	0	-19	19
Akkadian	VERB	vocative		PROPN	1	0	-15	15
Akkadian	X	cc		CCONJ	3	0	-3	3
Akkadian	X	det		PRON	1	1	1	1
Akkadian	X	mod		NOUN	1	1	2	2
Akkadian	X	mod		PART	1	0	-6	6
Akkadian	X	subj		ADP	1	0	-16	16
Akkadian	X	udep		ADP	1	0	-3	3
Akkadian	X	udep		NOUN	1	0	-5	5
Akkadian	X	unk		ADP	5	3	-4	10
Akkadian	X	unk		CCONJ	1	0	-1	1
Akkadian	X	unk		NOUN	3	3	4	4
Akkadian	X	unk		X	3	3	3	3
Akkadian	__0__	root		ADP	1	1	11	11
Akkadian	__0__	root		NOUN	11	11	47	47
Akkadian	__0__	root		PRON	3	3	62	62
Akkadian	__0__	root		PROPN	8	8	8	8
Akkadian	__0__	root		SCONJ	3	3	12	12
Akkadian	__0__	root		VERB	74	74	1021	1021
Akkadian	__0__	root		X	1	1	3	3
Akuntsu	ADJ	discourse		PART	2	2	3	3
Akuntsu	ADJ	mod		ADV	1	1	1	1
Akuntsu	ADJ	mod		NOUN	1	0	-1	1
Akuntsu	ADJ	punct		PUNCT	4	4	7	7
Akuntsu	ADJ	subj		PROPN	2	0	-2	2
Akuntsu	ADP	comp	obj	NOUN	16	0	-16	16
Akuntsu	ADP	comp	obj	PROPN	2	0	-2	2
Akuntsu	ADP	comp	obj	VERB	3	1	-1	3
Akuntsu	ADP	mod		ADV	1	0	-2	2
Akuntsu	ADP	punct		PUNCT	7	7	8	8
Akuntsu	ADP	subj		NOUN	4	1	-5	7
Akuntsu	ADP	subj		PRON	1	0	-2	2
Akuntsu	ADP	udep		NOUN	1	0	-1	1
Akuntsu	ADV	comp	obj	NOUN	1	1	1	1
Akuntsu	ADV	conj	coord	ADV	1	1	3	3
Akuntsu	ADV	det		DET	1	0	-1	1
Akuntsu	ADV	det		PRON	2	2	2	2
Akuntsu	ADV	punct		PUNCT	5	5	7	7
Akuntsu	AUX	comp	aux	VERB	34	2	-35	41
Akuntsu	AUX	comp	obj	NOUN	1	0	-2	2
Akuntsu	AUX	comp	obl	VERB	1	0	-1	1
Akuntsu	AUX	discourse		NOUN	1	0	-4	4
Akuntsu	AUX	discourse		PART	2	0	-3	3
Akuntsu	AUX	mod		ADV	2	0	-7	7
Akuntsu	AUX	parataxis		AUX	1	1	2	2
Akuntsu	AUX	parataxis		DET	1	1	3	3
Akuntsu	AUX	parataxis		NOUN	1	0	-1	1
Akuntsu	AUX	parataxis		VERB	2	2	8	8
Akuntsu	AUX	punct		PUNCT	32	32	45	45
Akuntsu	AUX	subj		NOUN	3	0	-7	7
Akuntsu	AUX	subj		PRON	5	1	-7	9
Akuntsu	AUX	subj		PROPN	4	0	-8	8
Akuntsu	DET	det		PRON	2	2	2	2
