x	y	n_langs	n_lineages	pearson	spearman	lineage_r	quad_min	quad_expected	quad_reading	p_quad	grid_empty	p_grid	coupled	claim	claim_violators	claim_viol_rate	claim_support	boot_kind	boot_survival	surprise
dist:comp:obl	dist:comp:pred	45	17	0.779	0.681	0.816	6	10.8		0.016	0.16	0.0	False					grid	1.0	0.16
dir:comp:obj	dist:comp:aux	75	26	0.664	0.539	0.62	9	18.2		0.0	0.16	0.0	False					grid	0.986	0.1583
dir:comp:obj	dist:comp:pred	68	26	0.772	0.685	0.753	6	17.0		0.0	0.16	0.0	False					grid	0.868	0.1442
dist:comp:aux	dist:comp:obj	75	26	0.677	0.581	0.644	10	18.2		0.0	0.16	0.0	False					grid	0.852	0.1422
dir:comp	dir:udep	113	35	0.815	0.867	0.861	8	27.8		0.0	0.12	0.0	False	dir:comp >= dir:udep	Akuntsu,Bambara,Beja,Chintang,Gheg,Guajajara,Karo,Korean	0.177	0.469	grid	1.0	0.12
dir:comp:aux	dir:comp:obj	75	26	0.801	0.717	0.716	10	18.2		0.001	0.12	0.0	False	dir:comp:aux >= dir:comp:obj	Amharic,Bavarian,Beja,Bhojpuri,Breton,Buryat,Cantonese,Chinese	0.28	0.347	grid	1.0	0.12
dir:comp:aux	dir:comp:pred	57	20	0.859	0.725	0.819	6	13.8		0.0	0.12	0.0	False	dir:comp:aux >= dir:comp:pred	Buryat,Cantonese,Chinese,Punjabi,Shanghainese,Xibe	0.105	0.386	grid	1.0	0.12
dir:comp:obj	dir:comp:obl	58	21	0.715	0.686	0.793	7	14.5		0.001	0.12	0.0	False	dir:comp:obj >= dir:comp:obl	Abkhaz,Bambara,Bhojpuri,Bokota,Cantonese,Chinese,Chintang,Finnish	0.276	0.379	grid	1.0	0.12
dir:comp:obl	dir:comp:pred	45	17	0.812	0.697	0.861	5	10.8		0.002	0.12	0.0	False	dir:comp:obl >= dir:comp:pred	Albanian,French,Gheg,Greek,Italian,Javanese,Ligurian,Middle_French	0.289	0.289	grid	1.0	0.12
dir:comp:obl	dist:comp:obj	58	21	0.759	0.684	0.866	6	14.5		0.0	0.12	0.0	False					grid	1.0	0.12
dir:comp:obl	dist:comp:pred	45	17	0.783	0.684	0.849	6	10.8		0.014	0.12	0.0	False					grid	1.0	0.12
dir:comp:pred	dist:comp:aux	57	20	0.662	0.55	0.733	6	13.8		0.0	0.12	0.0	False					grid	1.0	0.12
dir:comp:obj	dir:udep	113	35	0.815	0.874	0.839	8	27.8		0.0	0.12	0.0	False	dir:comp:obj >= dir:udep	Abkhaz,Akuntsu,Bambara,Beja,Chintang,Guajajara,Karo,Korean	0.15	0.496	grid	0.998	0.1198
dir:comp:aux	dir:comp:obl	47	17	0.765	0.598	0.788	6	11.2		0.007	0.12	0.003	False	dir:comp:aux >= dir:comp:obl	Amharic,Bhojpuri,Breton,Buryat,Cantonese,Chinese,Chintang,Guajajara	0.319	0.383	grid	1.0	0.1196
dir:comp:aux	dist:comp:obl	47	17	0.74	0.548	0.828	6	11.2		0.005	0.12	0.003	False					grid	1.0	0.1196
dir:comp:obl	dist:comp:aux	47	17	0.737	0.662	0.767	6	11.2		0.005	0.12	0.003	False					grid	1.0	0.1196
dist:comp:aux	dist:comp:obl	47	17	0.737	0.667	0.792	6	11.2		0.008	0.12	0.003	False					grid	1.0	0.1196
dist:comp:obj	dist:comp:obl	58	21	0.648	0.663	0.629	6	14.5		0.0	0.12	0.0	False					grid	0.994	0.1195
dir:comp:aux	dist:comp:obj	75	26	0.785	0.642	0.719	12	18.2		0.009	0.12	0.0	False					grid	0.984	0.1186
dir:comp:pred	dir:udep	66	26	0.771	0.721	0.721	6	16.5		0.0	0.12	0.0	False	dir:comp:pred >= dir:udep	Abkhaz,Beja,Breton,Hausa,Highland_Puebla_Nahuatl,Korean,Northern_Kurdish,Pesh	0.167	0.333	grid	0.982	0.1184
dir:comp:aux	dir:mod	74	25	0.51	0.54	0.533	14	18.5		0.065	0.12	0.0	False	dir:comp:aux >= dir:mod	Akuntsu,Amharic,Beja,Breton,Buryat,Chintang,Guajajara,Ika	0.27	0.635	grid	0.976	0.1178
dir:comp:aux	dist:comp:pred	57	20	0.749	0.6	0.726	6	13.8		0.0	0.12	0.0	False					grid	0.956	0.116
dir:discourse	pos:SCONJ	48	20	-0.142	-0.136	-0.223	9	12.0		0.146	0.12	0.002	False					grid	0.922	0.1128
dir:mod	dir:udep	114	35	0.699	0.71	0.644	16	28.5		0.0	0.12	0.0	False	dir:udep >= dir:mod	Abkhaz,Akkadian,Amharic,Bokota,Chintang,Chukchi,Gwichin,Hittite	0.193	0.526	grid	0.908	0.1117
adist:discourse	pos:NOUN	55	21	-0.248	-0.347	-0.382	8	13.2		0.011	0.12	0.0	False					grid	0.898	0.1108
freq:discourse	pos:INTJ	93	31	0.378	0.712	0.31	7	22.8		0.0	0.16	0.0	False					grid	0.578	0.1094
dist:comp:obj	dist:comp:pred	68	26	0.79	0.792	0.736	7	17.0		0.0	0.16	0.0	False					grid	0.52	0.1024
dir:comp:pred	dist:subj	68	26	0.654	0.424	0.65	13	17.0		0.078	0.12	0.0	False					grid	0.794	0.1015
dist:discourse	pos:SCONJ	48	20	-0.02	-0.087	0.111	9	12.0		0.127	0.12	0.002	False					grid	0.78	0.1
dir:udep	dist:comp:obl	57	21	0.464	0.578	0.423	6	13.8		0.0	0.16	0.0	False					grid	0.412	0.0894
adist:subj	dir:comp:pred	68	26	-0.655	-0.508	-0.666	12	17.0		0.028	0.12	0.0	False					grid	0.61	0.0849
dir:comp	dist:udep	113	35	0.677	0.712	0.774	11	27.8		0.0	0.08	0.0	False					grid	1.0	0.08
dir:comp:obj	dist:udep	113	35	0.647	0.691	0.731	12	27.8		0.0	0.08	0.0	False					grid	1.0	0.08
dir:mod	dist:udep	114	35	0.646	0.663	0.712	16	28.5		0.0	0.08	0.0	False					grid	1.0	0.08
dir:udep	dist:comp	113	35	0.758	0.766	0.855	8	27.8		0.0	0.08	0.0	False					grid	1.0	0.08
dir:udep	dist:comp:obj	113	35	0.759	0.763	0.841	8	27.8		0.0	0.08	0.0	False					grid	1.0	0.08
dir:udep	dist:subj	112	35	0.602	0.628	0.677	14	28.0		0.0	0.08	0.0	False					grid	1.0	0.08
dist:mod	dist:udep	114	35	0.758	0.742	0.837	15	28.5		0.0	0.08	0.0	False					grid	1.0	0.08
dist:subj	dist:udep	112	35	0.748	0.735	0.772	12	28.0		0.0	0.08	0.0	False					grid	1.0	0.08
adist:subj	dist:udep	112	35	-0.682	-0.666	-0.742	15	28.0		0.0	0.08	0.0	False					grid	0.998	0.0799
dir:udep	dist:mod	114	35	0.743	0.732	0.744	14	28.5		0.0	0.08	0.0	False					grid	0.998	0.0799
freq:vocative	pos:ADJ	89	31	-0.375	-0.54	-0.502	13	21.8		0.002	0.08	0.001	False					grid	1.0	0.0799
adist:subj	dir:cc	79	28	0.226	0.582	0.14	10	19.0		0.001	0.08	0.004	False					grid	1.0	0.0797
dir:cc	dir:comp:obj	80	29	-0.456	-0.508	-0.436	12	19.5		0.0	0.08	0.004	False	dir:comp:obj >= dir:cc	Amharic,Beja,Buryat,Chintang,Korean,Malayalam,Odia,Punjabi	0.125	0.713	grid	1.0	0.0797
dir:cc	dir:subj	79	28	-0.191	-0.289	-0.237	12	19.0		0.004	0.08	0.004	False	dir:subj >= dir:cc	Amharic,Beja,Bhojpuri,Buryat,Chintang,Hittite,Korean,Malayalam	0.177	0.582	grid	1.0	0.0797
dir:cc	dist:mod	80	29	-0.429	-0.515	-0.456	12	19.5		0.001	0.08	0.004	False					grid	1.0	0.0797
dir:cc	dist:udep	79	28	-0.348	-0.511	-0.276	11	19.0		0.0	0.08	0.004	False					grid	1.0	0.0797
dir:comp	dist:cc	80	29	0.166	0.219	0.232	16	20.0		0.106	0.08	0.004	False					grid	1.0	0.0797
dir:comp:obj	dist:cc	80	29	0.149	0.199	0.205	18	20.0		0.502	0.08	0.004	False					grid	1.0	0.0797
dir:cc	dir:mod	80	29	-0.329	-0.427	-0.42	13	19.5		0.005	0.08	0.004	False	dir:mod >= dir:cc	Amharic,Beja,Bhojpuri,Buryat,Malayalam,Odia,Phrygian,Punjabi	0.138	0.75	grid	0.998	0.0796
dir:subj	dir:udep	112	35	0.481	0.541	0.518	16	28.0		0.0	0.08	0.0	False	dir:udep >= dir:subj	Abkhaz,Amharic,Cebuano,Sanskrit,Tamil,Uzbek	0.054	0.67	grid	0.994	0.0796
dist:cc	dist:comp	80	29	0.131	0.121	0.209	16	20.0		0.092	0.08	0.004	False					grid	0.998	0.0796
dist:cc	dist:comp:obj	80	29	0.094	0.052	0.19	18	20.0		0.521	0.08	0.004	False					grid	0.998	0.0796
adist:subj	dir:comp:aux	74	26	-0.679	-0.539	-0.634	11	18.5		0.0	0.08	0.008	False					grid	1.0	0.0794
dir:cc	dist:comp	80	29	-0.484	-0.571	-0.442	12	19.5		0.003	0.08	0.004	False					grid	0.996	0.0794
dir:cc	dist:comp:obj	80	29	-0.472	-0.508	-0.446	14	19.5		0.027	0.08	0.004	False					grid	0.996	0.0794
dir:comp:aux	dir:subj	74	26	0.395	0.481	0.303	10	18.5		0.0	0.08	0.008	False	dir:comp:aux >= dir:subj	Amharic,Chintang,Ika,Kiche,Tamil	0.068	0.689	grid	1.0	0.0794
dir:comp:aux	dist:mod	74	25	0.611	0.549	0.661	13	18.5		0.014	0.08	0.008	False					grid	1.0	0.0794
dir:comp:aux	dist:subj	74	26	0.696	0.534	0.597	10	18.5		0.0	0.08	0.008	False					grid	1.0	0.0794
dir:mod	dist:comp:aux	74	25	0.325	0.365	0.434	14	18.5		0.054	0.08	0.008	False					grid	1.0	0.0794
dist:comp:aux	dist:mod	74	25	0.461	0.428	0.576	11	18.5		0.001	0.08	0.008	False					grid	1.0	0.0794
dir:cc	dir:udep	79	28	-0.384	-0.499	-0.321	12	19.0		0.008	0.08	0.004	False	dir:udep >= dir:cc	Amharic,Beja,Bhojpuri,Buryat,Chintang,Kazakh,Malayalam,Odia	0.152	0.684	grid	0.994	0.0793
dir:comp:aux	freq:cc	71	24	0.602	0.564	0.784	5	17.2		0.0	0.08	0.009	False					grid	1.0	0.0793
dir:comp:aux	pos:CCONJ	71	24	0.59	0.542	0.757	6	17.2		0.0	0.08	0.009	False					grid	1.0	0.0793
dist:comp	dist:subj	122	38	0.594	0.584	0.679	17	30.5		0.0	0.08	0.0	False					grid	0.988	0.0793
dist:comp:aux	freq:cc	71	24	0.45	0.518	0.732	8	17.2		0.0	0.08	0.009	False					grid	1.0	0.0793
dist:comp:aux	pos:CCONJ	71	24	0.464	0.526	0.706	7	17.2		0.0	0.08	0.009	False					grid	1.0	0.0793
dir:comp:aux	dir:udep	73	25	0.75	0.713	0.562	9	17.8		0.001	0.08	0.01	False	dir:comp:aux >= dir:udep	Akuntsu,Beja,Breton,Buryat,Guajajara,Karo,Kiche,Korean	0.137	0.562	grid	1.0	0.0792
dir:udep	dist:comp:aux	73	25	0.539	0.531	0.45	10	17.8		0.0	0.08	0.01	False					grid	1.0	0.0792
dist:comp:aux	dist:udep	73	25	0.44	0.435	0.47	10	17.8		0.002	0.08	0.01	False					grid	1.0	0.0792
dist:comp:aux	pos:NOUN	75	26	-0.404	-0.377	-0.479	9	18.2		0.0	0.08	0.01	False					grid	1.0	0.0792
dist:comp:aux	dist:subj	74	26	0.546	0.532	0.503	10	18.5		0.0	0.08	0.008	False					grid	0.996	0.0791
adist:subj	dist:comp:aux	74	26	-0.484	-0.495	-0.565	14	18.5		0.065	0.08	0.008	False					grid	0.994	0.079
dir:comp:pred	dir:subj	68	26	0.356	0.314	0.404	13	17.0		0.083	0.08	0.013	False	dir:comp:pred >= dir:subj	Abkhaz,Amharic,Pesh,Turkish	0.059	0.662	grid	1.0	0.079
dir:comp:pred	dist:mod	68	26	0.619	0.574	0.673	9	17.0		0.0	0.08	0.013	False					grid	1.0	0.079
dist:comp:pred	dist:subj	68	26	0.608	0.475	0.579	12	17.0		0.032	0.08	0.013	False					grid	1.0	0.079
adist:subj	dist:comp:pred	68	26	-0.592	-0.5	-0.576	12	17.0		0.034	0.08	0.013	False					grid	0.998	0.0788
dir:comp:pred	dir:mod	68	26	0.483	0.498	0.496	10	17.0		0.002	0.08	0.013	False	dir:comp:pred >= dir:mod	Abkhaz,Amharic,Beja,Breton,Chintang,Chukchi,Ika,Kazakh	0.235	0.603	grid	0.996	0.0787
dir:cc	dir:comp	80	29	-0.481	-0.545	-0.429	12	19.5		0.003	0.08	0.004	False	dir:comp >= dir:cc	Amharic,Beja,Buryat,Chintang,Kazakh,Korean,Malayalam,Odia	0.163	0.7	grid	0.982	0.0786
dir:comp:pred	dist:udep	66	26	0.716	0.599	0.688	6	16.5		0.0	0.08	0.017	False					grid	1.0	0.0786
dir:udep	dist:comp:pred	66	26	0.638	0.618	0.628	7	16.5		0.0	0.08	0.017	False					grid	1.0	0.0786
dist:comp:pred	dist:udep	66	26	0.599	0.543	0.608	7	16.5		0.0	0.08	0.017	False					grid	1.0	0.0786
dir:comp:aux	pos:NOUN	75	26	-0.484	-0.42	-0.558	12	18.2		0.006	0.08	0.01	False					grid	0.988	0.0785
dir:mod	dist:cc	80	29	0.102	0.156	0.03	19	20.0		0.838	0.08	0.004	False					grid	0.976	0.0782
dir:comp:aux	dist:cc	65	24	0.16	0.267	0.1	12	15.8		0.127	0.08	0.024	False					grid	1.0	0.0781
dir:mod	dist:subj	120	37	0.375	0.443	0.583	21	30.0		0.001	0.08	0.0	False					grid	0.968	0.0781
dir:cc	dist:comp:pred	63	25	-0.484	-0.587	-0.515	8	15.2		0.0	0.08	0.026	False					grid	1.0	0.0779
dir:comp:pred	dist:cc	63	25	0.089	0.092	0.054	13	15.2		0.482	0.08	0.026	False					grid	1.0	0.0779
dir:cc	dir:comp:pred	63	25	-0.483	-0.555	-0.477	9	15.2		0.004	0.08	0.026	False	dir:comp:pred >= dir:cc	Amharic,Beja,Buryat,Chintang,Korean,Malayalam,Phrygian,Turkish	0.127	0.698	grid	0.998	0.0778
dist:cc	dist:comp:pred	63	25	0.045	0.036	0.015	13	15.2		0.431	0.08	0.026	False					grid	0.998	0.0778
adist:udep	dist:mod	114	35	-0.34	-0.22	-0.358	27	28.5		0.697	0.08	0.0	False					grid	0.962	0.0777
dir:cc	dir:comp:aux	65	24	-0.502	-0.479	-0.485	10	15.5		0.016	0.08	0.024	False	dir:comp:aux >= dir:cc	Amharic,Beja,Bhojpuri,Buryat,Chintang,Korean,Punjabi,Tamil	0.123	0.723	grid	0.994	0.0777
adist:cc	dir:comp:pred	63	25	-0.422	-0.262	-0.389	12	15.2		0.194	0.08	0.026	False					grid	0.988	0.0772
dir:udep	pos:DET	107	35	0.463	0.415	0.597	16	26.2		0.001	0.08	0.0	False					grid	0.954	0.0772
dir:comp:pred	pos:DET	62	25	0.379	0.295	0.475	11	15.5		0.038	0.08	0.024	False					grid	0.982	0.077
dist:comp:aux	pos:ADV	74	25	0.358	0.319	0.425	12	18.5		0.004	0.08	0.008	False					grid	0.96	0.077
adist:udep	dir:comp:aux	73	25	-0.35	-0.305	-0.402	11	17.8		0.005	0.08	0.01	False					grid	0.96	0.0768
dir:comp:obj	dir:mod	121	37	0.561	0.603	0.574	18	29.8		0.0	0.08	0.0	False	dir:comp:obj >= dir:mod	Abkhaz,Akuntsu,Bokota,Chintang,Chukchi,Guajajara,Gwichin,Ika	0.207	0.529	grid	0.946	0.0768
dir:comp:obj	dist:comp:obl	58	21	0.533	0.611	0.442	7	14.5		0.0	0.08	0.041	False					grid	1.0	0.0767
dir:comp:obl	pos:ADP	58	21	0.347	0.337	0.376	12	14.5		0.312	0.08	0.041	False					grid	1.0	0.0767
dir:mod	dist:comp:obl	58	21	0.228	0.354	0.122	12	14.5		0.308	0.08	0.041	False					grid	1.0	0.0767
dist:comp:obl	pos:NOUN	58	21	-0.53	-0.366	-0.649	11	14.5		0.124	0.08	0.041	False					grid	1.0	0.0767
dir:comp:obl	pos:PRON	58	21	0.232	0.3	0.181	14	14.5		1.0	0.08	0.041	False					grid	0.996	0.0765
dist:comp:obl	pos:ADP	58	21	0.222	0.277	0.118	13	14.5		0.611	0.08	0.041	False					grid	0.996	0.0765
dir:cc	freq:vocative	62	26	-0.048	0.066	-0.21	15	15.5		1.0	0.08	0.024	False					grid	0.962	0.0759
adist:udep	dist:comp:aux	73	25	-0.114	-0.18	-0.331	15	17.8		0.321	0.08	0.01	False					grid	0.942	0.0758
dir:comp:obl	pos:NOUN	58	21	-0.371	-0.3	-0.401	11	14.5		0.099	0.08	0.041	False					grid	0.984	0.0758
dir:comp:obl	freq:cc	58	21	0.196	0.211	0.146	12	14.5		0.283	0.08	0.041	False					grid	0.982	0.0757
dir:cc	dist:det	73	29	0.013	-0.141	0.015	17	17.5		1.0	0.08	0.01	False					grid	0.94	0.0756
dir:comp:pred	pos:CCONJ	68	26	0.261	0.244	0.166	13	17.0		0.076	0.08	0.013	False					grid	0.942	0.0755
