measure	language	value	n_scope	n_hit	ci_low	ci_high
adist:det	Alemannic	1.2927	123			
adist:det	Amharic	1.0732	478			
adist:det	Apurina	1.0833	36			
adist:det	Bambara	1.1282	507			
adist:det	Bavarian	1.2856	1849			
adist:det	Beja	1.1274	1703			
adist:det	Bhojpuri	1.5402	174			
adist:det	Brahui	1.5	36			
adist:det	Breton	1.0582	1203			
adist:det	Buryat	1.3057	229			
adist:det	Cantonese	2.0625	336			
adist:det	Cappadocian	1.1076	697			
adist:det	Chinese	1.6893	383			
adist:det	Chintang	1.1583	436			
adist:det	Chukchi	1.4737	38			
adist:det	Czech	1.2559	211			
adist:det	English	1.6445	4014			
adist:det	Esperanto	1.417	259			
adist:det	Faroese	1.2957	186			
adist:det	Finnish	1.3551	245			
adist:det	French	1.1181	762			
adist:det	Frisian_Dutch	1.3263	331			
adist:det	Gheg	1.1477	1280			
adist:det	Greek	1.2	3145			
adist:det	Guajajara	1.1078	102			
adist:det	Haitian_Creole	1.4067	300			
adist:det	Hausa	1.0954	1142			
adist:det	Hebrew	1.1091	651			
adist:det	Highland_Puebla_Nahuatl	1.0664	437			
adist:det	Ika	1.1765	51			
adist:det	Irish	1.1062	320			
adist:det	Italian	1.1758	1018			
adist:det	Javanese	1.349	682			
adist:det	Kadiweu	1.0588	34			
adist:det	Kangri	1.2909	55			
adist:det	Karelian	1.1892	37			
adist:det	Kazakh	1.2248	218			
adist:det	Kiche	1.1233	1411			
adist:det	Komi_Zyrian	1.2675	157			
adist:det	Korean	1.1702	699			
adist:det	Ligurian	1.1673	849			
adist:det	Lithuanian	1.3077	143			
adist:det	Luxembourgish	1.2667	30			
adist:det	Malayalam	1.1463	41			
adist:det	Marathi	1.3596	114			
adist:det	Middle_Armenian	1.0556	36			
adist:det	Middle_French	1.1471	836			
adist:det	Moksha	1.1818	66			
adist:det	Naga	1.0444	135			
adist:det	Nepali	1.2632	38			
adist:det	Northern_Kurdish	1.061	213			
adist:det	Northwest_Gbaya	1.7727	44			
adist:det	Odia	1.4855	173			
adist:det	Old_French	1.0794	2014			
adist:det	Old_Georgian	1.2023	346			
adist:det	Old_Irish	1.05	40			
adist:det	Ottoman_Turkish	1.2409	523			
adist:det	Pashto	1.4384	276			
adist:det	Paumari	1.1667	48			
adist:det	Pesh	1.1754	114			
adist:det	Phrygian	1.2581	124			
adist:det	Polish	1.1994	326			
adist:det	Punjabi	1.3333	174			
adist:det	Romanian	1.0513	234			
adist:det	Ruuli	1.172	93			
adist:det	Sanskrit	1.4516	62			
adist:det	Shanghainese	1.26	100			
adist:det	Sicilian	1.1127	1295			
adist:det	Sinhala	1.1667	42			
adist:det	Skolt_Sami	1.1404	57			
adist:det	Southern_Kurdish	1.3333	33			
adist:det	Spanish	1.1134	741			
adist:det	Swedish	1.4976	422			
adist:det	Swedish_Sign_Language	1.7059	68			
adist:det	Tagalog	1.3611	36			
adist:det	Tamil	1.0595	168			
adist:det	Teko	1.0781	64			
adist:det	Telugu	1.0581	155			
adist:det	Turkish	1.1738	1663			
adist:det	Upper_Sorbian	1.5297	236			
adist:det	Uzbek	1.2401	279			
adist:det	Vietnamese	1.2045	88			
adist:det	Wolof	1.2033	3138			
adist:det	Xavante	1.6032	63			
adist:det	Xibe	1.3927	191			
adist:det	Yakut	1.0513	78			
adist:det	Yoruba	1.1314	274			
adist:discourse	Akuntsu	1.5385	65			
adist:discourse	Amharic	2.2417	211			
adist:discourse	Bambara	2.4177	778			
adist:discourse	Beja	2.0732	478			
adist:discourse	Buryat	1.5946	407			
adist:discourse	Cantonese	3.6613	1491			
adist:discourse	Cappadocian	2.6667	36			
adist:discourse	Central_Kurdish	3.6341	41			
adist:discourse	Chinese	2.0516	426			
adist:discourse	Chintang	2.168	637			
adist:discourse	Chukchi	2.8233	300			
adist:discourse	Classical_Chinese	1.7105	38			
adist:discourse	English	3.1654	393			
adist:discourse	Frisian_Dutch	3.1256	199			
adist:discourse	Gheg	2.9107	605			
adist:discourse	Greek	2.6867	166			
adist:discourse	Guajajara	2.9513	2011			
adist:discourse	Gujarati	1.8864	44			
adist:discourse	Hausa	3.1418	2073			
adist:discourse	Highland_Puebla_Nahuatl	3.1215	181			
adist:discourse	Hittite	3.2903	93			
adist:discourse	Ika	3.8372	301			
adist:discourse	Javanese	3.3333	33			
adist:discourse	Kaapor	1.6562	32			
adist:discourse	Karo	1.4918	61			
adist:discourse	Kazakh	2.2407	54			
adist:discourse	Kiche	1.68	150			
adist:discourse	Komi_Zyrian	3.5116	43			
adist:discourse	Kyrgyz	1.4333	30			
adist:discourse	Marathi	1.7193	57			
adist:discourse	Munduruku	1.5161	31			
adist:discourse	Naga	3.7609	46			
adist:discourse	Nenets	1.2381	105			
adist:discourse	Nepali	2.0123	81			
adist:discourse	Northwest_Gbaya	3.2899	69			
adist:discourse	Odia	2.1	50			
adist:discourse	Ottoman_Turkish	3.9643	84			
adist:discourse	Pesh	2.9052	232			
adist:discourse	Punjabi	5.0735	68			
adist:discourse	Romanian	9.3241	108			
adist:discourse	Ruuli	2.0455	66			
adist:discourse	Shanghainese	2.5677	879			
adist:discourse	Skolt_Sami	2.971	69			
adist:discourse	Southern_Kurdish	3.8	35			
adist:discourse	Spanish	4.0317	189			
adist:discourse	Swedish_Sign_Language	3.6087	46			
adist:discourse	Teko	1.8372	43			
adist:discourse	Tupinamba	1.802	197			
adist:discourse	Turkish	3.9565	46			
adist:discourse	Uzbek	4.9481	77			
adist:discourse	Wolof	5.7021	47			
adist:discourse	Xavante	2.2128	47			
adist:discourse	Xibe	2.4203	69			
adist:discourse	Yakut	1.4865	37			
adist:discourse	Zazaki	3.6892	74			
adist:mod	Abaza	1.8923	130			
adist:mod	Abkhaz	2.3	2663			
adist:mod	Akkadian	1.4484	475			
adist:mod	Akuntsu	1.1979	187			
adist:mod	Albanian	2.5132	756			
adist:mod	Alemannic	1.8755	265			
adist:mod	Amharic	2.6276	964			
adist:mod	Apurina	1.481	158			
adist:mod	Assamese	2.2465	215			
adist:mod	Assyrian	1.9583	48			
adist:mod	Azerbaijani	1.6198	121			
adist:mod	Bambara	2.8706	858			
adist:mod	Bavarian	2.5004	2336			
adist:mod	Beja	3.8868	1608			
adist:mod	Bengali	1.7143	56			
adist:mod	Bhojpuri	3.8029	832			
adist:mod	Bokota	2.126	365			
adist:mod	Brahui	2.3781	201			
adist:mod	Breton	1.7872	1560			
adist:mod	Buryat	2.2636	3418			
adist:mod	Cantonese	2.7603	2495			
adist:mod	Cappadocian	1.875	672			
adist:mod	Cebuano	1.8318	214			
adist:mod	Central_Kurdish	1.3636	121			
adist:mod	Chinese	2.265	5751			
adist:mod	Chintang	1.5394	3576			
adist:mod	Chukchi	1.741	1633			
adist:mod	Classical_Chinese	1.9318	176			
adist:mod	Czech	2.5068	1322			
adist:mod	English	2.4172	8461			
adist:mod	Esperanto	3.1692	715			
adist:mod	Faroese	1.3616	1319			
adist:mod	Finnish	1.8237	4304			
adist:mod	French	2.5634	726			
adist:mod	Frisian_Dutch	1.8787	701			
adist:mod	Gheg	2.0723	2074			
adist:mod	Greek	2.0924	3364			
adist:mod	Guajajara	1.6163	1191			
adist:mod	Guarani	1.383	47			
adist:mod	Gujarati	1.9716	282			
adist:mod	Gwichin	2.039	77			
adist:mod	Haitian_Creole	2.9398	581			
adist:mod	Hausa	3.062	7909			
adist:mod	Hebrew	3.0858	1236			
adist:mod	Highland_Puebla_Nahuatl	1.7051	1987			
adist:mod	Hittite	2.5225	400			
adist:mod	Ika	1.3864	1320			
adist:mod	Irish	2.3052	924			
adist:mod	Italian	2.5828	791			
adist:mod	Javanese	2.007	3981			
adist:mod	Kaapor	1.9863	73			
adist:mod	Kadiweu	1.2632	38			
adist:mod	Kangri	2.0172	349			
adist:mod	Karelian	1.5812	659			
adist:mod	Karo	1.3713	404			
adist:mod	Kazakh	2.0516	2735			
adist:mod	Kiche	1.7055	1416			
adist:mod	Komi_Permyak	1.7538	199			
adist:mod	Komi_Zyrian	1.7547	2487			
adist:mod	Korean	2.3615	7059			
adist:mod	Kyrgyz	1.6219	201			
adist:mod	Ligurian	2.8073	794			
adist:mod	Lithuanian	2.0938	1205			
adist:mod	Livvi	1.71	331			
adist:mod	Macedonian	1.8896	154			
adist:mod	Makurap	1.4211	38			
adist:mod	Malayalam	1.9045	670			
adist:mod	Marathi	2.157	395			
adist:mod	Mbya_Guarani	3.3312	154			
adist:mod	Middle_Armenian	2.5752	153			
adist:mod	Middle_French	4.0433	923			
adist:mod	Moksha	1.6946	943			
adist:mod	Munduruku	1.8898	127			
adist:mod	Naga	1.6628	436			
adist:mod	Nenets	2.1548	478			
adist:mod	Nepali	2.9206	189			
adist:mod	Northern_Kurdish	2.0105	1904			
adist:mod	Northwest_Gbaya	2.5957	418			
adist:mod	Odia	2.1294	1437			
adist:mod	Old_French	4.5456	1928			
adist:mod	Old_Georgian	3.0759	1964			
adist:mod	Old_Irish	1.9405	252			
adist:mod	Ottoman_Turkish	2.4307	2698			
adist:mod	Pashto	3.2257	1143			
adist:mod	Paumari	1.8136	59			
adist:mod	Pesh	2.4232	716			
adist:mod	Phrygian	2.0522	115			
adist:mod	Polish	1.8141	4583			
adist:mod	Punjabi	3.0567	759			
adist:mod	Romanian	2.1783	830			
adist:mod	Ruuli	1.5206	1045			
adist:mod	Sanskrit	2.2081	620			
adist:mod	Shanghainese	1.668	1271			
adist:mod	Sicilian	2.6317	1317			
adist:mod	Sinhala	1.9775	311			
adist:mod	Skolt_Sami	1.7724	391			
adist:mod	South_Levantine_Arabic	1.5789	152			
adist:mod	Southern_Kurdish	1.817	235			
adist:mod	Spanish	3.2963	1117			
adist:mod	Spanish_Sign_Language	1.3654	208			
adist:mod	Swedish	1.9763	2148			
adist:mod	Swedish_Sign_Language	2.0649	185			
adist:mod	Tagalog	1.8163	196			
adist:mod	Tamil	2.0746	4209			
adist:mod	Tatar	2.0013	748			
adist:mod	Teko	1.5945	397			
adist:mod	Telugu	1.4401	827			
adist:mod	Telugu_English	1.35	60			
adist:mod	Tupinamba	2.3542	912			
adist:mod	Turkish	2.0409	8431			
adist:mod	Turkish_English	1.75	88			
adist:mod	Umbrian	1.9606	330			
adist:mod	Upper_Sorbian	2.0211	2653			
adist:mod	Uzbek	2.099	3385			
adist:mod	Veps	1.6529	314			
adist:mod	Vietnamese	2.169	420			
adist:mod	Wolof	2.6708	6652			
adist:mod	Xavante	2.4873	197			
adist:mod	Xibe	3.5157	4921			
adist:mod	Yakut	1.4542	284			
adist:mod	Yoruba	2.1983	1261			
adist:mod	Yupik	2.7872	282			
adist:mod	Zazaki	1.7076	171			
adist:subj	Abaza	1.9302	86			
adist:subj	Abkhaz	1.8702	1472			
adist:subj	Akkadian	9.6667	48			
adist:subj	Akuntsu	1.4896	192			
adist:subj	Albanian	2.2842	285			
adist:subj	Alemannic	2.4375	112			
adist:subj	Amharic	2.2282	1490			
adist:subj	Apurina	1.381	168			
adist:subj	Assamese	3.2625	80			
adist:subj	Assyrian	1.9762	42			
adist:subj	Azerbaijani	2.5926	135			
adist:subj	Bambara	1.2141	1854			
adist:subj	Bavarian	2.415	1200			
adist:subj	Beja	3.6218	476			
adist:subj	Bengali	1.9714	35			
adist:subj	Bhojpuri	6.1979	283			
adist:subj	Bokota	2.2399	346			
adist:subj	Brahui	4.3043	69			
adist:subj	Breton	2.4	575			
adist:subj	Buryat	4.0429	746			
adist:subj	Cantonese	2.3606	954			
adist:subj	Cappadocian	2.4552	279			
adist:subj	Cebuano	1.6585	164			
adist:subj	Central_Kurdish	2.7903	62			
adist:subj	Chinese	2.2086	1711			
adist:subj	Chintang	2.2162	1207			
adist:subj	Chukchi	2.066	409			
adist:subj	Classical_Chinese	2.0494	81			
adist:subj	Czech	2.7174	407			
adist:subj	English	1.6743	4341			
adist:subj	Esperanto	2.4798	248			
adist:subj	Faroese	1.6506	1268			
adist:subj	Finnish	1.729	1491			
adist:subj	French	1.9196	398			
adist:subj	Frisian_Dutch	1.9598	348			
adist:subj	Gheg	2.3081	1032			
adist:subj	Gorontalo	1.575	40			
adist:subj	Greek	2.3481	1244			
adist:subj	Gujarati	4.592	174			
adist:subj	Gwichin	2.5	32			
adist:subj	Haitian_Creole	2.443	386			
adist:subj	Hausa	2.0978	1728			
adist:subj	Hebrew	2.4066	605			
adist:subj	Highland_Puebla_Nahuatl	1.498	982			
adist:subj	Hittite	3.5253	99			
adist:subj	Ika	3.5333	285			
adist:subj	Irish	1.8384	328			
adist:subj	Italian	2.0889	405			
adist:subj	Javanese	2.3556	1434			
adist:subj	Kaapor	1.9306	72			
adist:subj	Kadiweu	1.3134	67			
adist:subj	Kangri	4.5068	221			
adist:subj	Karelian	1.6485	239			
adist:subj	Karo	1.7075	294			
adist:subj	Kazakh	3.7936	1124			
adist:subj	Kiche	1.9557	948			
adist:subj	Komi_Permyak	1.6056	142			
adist:subj	Komi_Zyrian	2.1871	882			
adist:subj	Korean	4.6773	2532			
adist:subj	Kyrgyz	3.0919	185			
adist:subj	Ligurian	2.9646	424			
adist:subj	Lithuanian	2.687	377			
adist:subj	Livvi	1.6781	146			
adist:subj	Macedonian	2.1687	83			
adist:subj	Malayalam	3.3172	227			
adist:subj	Marathi	2.7204	490			
adist:subj	Mbya_Guarani	2.1222	90			
adist:subj	Middle_Armenian	2.1379	87			
adist:subj	Middle_French	2.025	519			
adist:subj	Moksha	1.7908	435			
adist:subj	Munduruku	1.6522	92			
adist:subj	Naga	3.0137	438			
adist:subj	Nenets	3.5	56			
adist:subj	Nepali	4.381	42			
adist:subj	Northern_Kurdish	4.4751	823			
adist:subj	Northwest_Gbaya	1.2005	404			
adist:subj	Odia	4.4818	523			
adist:subj	Old_French	1.7844	1517			
adist:subj	Old_Georgian	4.2925	359			
adist:subj	Old_Irish	1.6528	72			
adist:subj	Ottoman_Turkish	4.9042	710			
adist:subj	Pashto	5.1299	462			
adist:subj	Paumari	1.8286	35			
adist:subj	Pesh	2.2414	174			
adist:subj	Phrygian	4.852	223			
adist:subj	Polish	2.7183	1182			
adist:subj	Punjabi	5.2747	324			
adist:subj	Romanian	2.1782	348			
adist:subj	Ruuli	1.6321	424			
adist:subj	Sanskrit	2.7792	231			
adist:subj	Shanghainese	1.7078	876			
adist:subj	Sicilian	2.3648	699			
adist:subj	Sinhala	3.4307	202			
adist:subj	Skolt_Sami	1.5253	316			
adist:subj	South_Levantine_Arabic	1.675	40			
adist:subj	Southern_Kurdish	3.125	136			
adist:subj	Spanish	2.0907	375			
adist:subj	Spanish_Sign_Language	1.7822	225			
adist:subj	Swedish	1.4668	1431			
adist:subj	Swedish_Sign_Language	1.4058	207			
adist:subj	Tagalog	2.1143	210			
adist:subj	Tamil	3.0121	1161			
adist:subj	Tatar	4.7531	162			
adist:subj	Teko	1.4933	223			
adist:subj	Telugu	2.0463	1167			
adist:subj	Telugu_English	2.131	84			
adist:subj	Tupinamba	1.8879	214			
adist:subj	Turkish	4.5162	3264			
adist:subj	Turkish_English	1.9412	34			
adist:subj	Umbrian	3.05	40			
adist:subj	Upper_Sorbian	3.2836	737			
adist:subj	Uzbek	4.3591	1437			
adist:subj	Veps	1.6788	137			
adist:subj	Vietnamese	2.2802	182			
adist:subj	Warlpiri	1.2321	56			
adist:subj	Wolof	1.8308	4722			
adist:subj	Xavante	2.8615	195			
adist:subj	Xibe	5.9166	959			
adist:subj	Yakut	2.2732	194			
adist:subj	Yoruba	2.1397	945			
adist:subj	Yupik	2.6069	173			
adist:subj	Zazaki	2.4815	108			
adist:udep	Abaza	1.7538	65			
adist:udep	Abkhaz	1.9658	497			
adist:udep	Akkadian	3.8727	165			
adist:udep	Akuntsu	1.5	44			
adist:udep	Albanian	2.6905	349			
adist:udep	Alemannic	3.0072	138			
adist:udep	Amharic	3.0637	518			
adist:udep	Apurina	1.7538	65			
adist:udep	Assamese	3.3026	76			
adist:udep	Azerbaijani	1.8778	90			
adist:udep	Bambara	2.2118	1303			
adist:udep	Bavarian	3.3844	1233			
adist:udep	Beja	1.4474	494			
adist:udep	Bhojpuri	4.2217	902			
adist:udep	Bokota	1.1351	74			
adist:udep	Brahui	3.6	105			
adist:udep	Breton	2.9824	854			
adist:udep	Buryat	2.7346	162			
adist:udep	Cantonese	3.3726	475			
adist:udep	Cappadocian	3.0819	281			
adist:udep	Cebuano	2.0	105			
adist:udep	Central_Kurdish	2.8333	30			
adist:udep	Chinese	2.8119	1026			
adist:udep	Chintang	2.1961	571			
adist:udep	Chukchi	1.8013	302			
adist:udep	Classical_Chinese	1.3611	36			
adist:udep	Czech	3.1062	565			
adist:udep	English	2.362	4180			
adist:udep	Esperanto	1.9086	350			
adist:udep	Faroese	1.614	987			
adist:udep	Finnish	2.8368	1495			
adist:udep	French	2.9822	506			
adist:udep	Frisian_Dutch	2.5017	289			
adist:udep	Gheg	2.154	1039			
adist:udep	Greek	2.4377	1364			
adist:udep	Guajajara	2.0821	1559			
adist:udep	Guarani	1.8913	46			
adist:udep	Gujarati	2.8601	193			
adist:udep	Gwichin	1.8372	43			
adist:udep	Haitian_Creole	1.6404	406			
adist:udep	Hausa	1.2101	119			
adist:udep	Hebrew	2.3393	946			
adist:udep	Highland_Puebla_Nahuatl	1.6828	454			
adist:udep	Hittite	2.6078	102			
adist:udep	Irish	3.0835	527			
adist:udep	Italian	2.3471	507			
adist:udep	Javanese	2.4714	1173			
adist:udep	Kangri	2.9483	271			
adist:udep	Karelian	2.7855	331			
adist:udep	Karo	2.0854	82			
adist:udep	Kazakh	3.7031	832			
adist:udep	Kiche	2.2279	623			
adist:udep	Komi_Permyak	1.8557	97			
adist:udep	Komi_Zyrian	2.3188	966			
adist:udep	Korean	3.371	2504			
adist:udep	Kyrgyz	1.8585	106			
adist:udep	Ligurian	2.6819	698			
adist:udep	Lithuanian	2.6237	295			
adist:udep	Livvi	2.0	152			
adist:udep	Macedonian	1.3816	76			
adist:udep	Malayalam	3.7	170			
adist:udep	Marathi	1.6409	337			
adist:udep	Mbya_Guarani	3.5926	81			
adist:udep	Middle_Armenian	2.2027	74			
adist:udep	Middle_French	2.8525	861			
adist:udep	Moksha	1.8118	457			
adist:udep	Munduruku	1.9595	173			
adist:udep	Naga	1.8642	162			
adist:udep	Nepali	4.1282	39			
adist:udep	Northern_Kurdish	4.5614	1188			
adist:udep	Northwest_Gbaya	1.0	54			
adist:udep	Odia	4.3178	494			
adist:udep	Old_French	2.2061	1601			
adist:udep	Old_Georgian	3.8164	708			
adist:udep	Old_Irish	2.0349	86			
adist:udep	Ottoman_Turkish	3.8939	990			
adist:udep	Pashto	5.0859	792			
adist:udep	Pesh	2.8634	161			
adist:udep	Phrygian	2.3673	98			
adist:udep	Polish	3.0491	1610			
adist:udep	Punjabi	3.451	337			
adist:udep	Romanian	2.2214	393			
adist:udep	Ruuli	1.5015	335			
adist:udep	Sanskrit	2.68	125			
adist:udep	Shanghainese	2.1902	163			
adist:udep	Sicilian	2.1424	913			
adist:udep	Sinhala	2.8626	131			
adist:udep	Skolt_Sami	1.7851	121			
adist:udep	South_Levantine_Arabic	2.1695	59			
adist:udep	Southern_Kurdish	1.9759	166			
